# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
203776 199 0.000117006969275457
204288 199.5 0.000119485930864742
204800 200 0.000122004418139667
205312 200.5 0.000124561361932363
205824 201 0.000127155332858101
206336 201.5 0.000129784548222406
206848 202 0.000132446748863857
207360 202.5 0.000135138980386371
207872 203 0.000137857290200456
208384 203.5 0.000140596557865375
208896 204 0.000143350700283945
209408 204.5 0.000146112800332978
209920 205 0.00014887541001938
210432 205.5 0.000151630408037893
210944 206 0.000154368623975834
211456 206.5 0.000157079944548387
211968 207 0.000159753811372287
212480 207.5 0.000162378992868289
212992 208 0.000164943081502721
213504 208.5 0.000167431927845974
214016 209 0.000169829107342805
214528 209.5 0.000172115412886783
215040 210 0.000174273563083407
215552 210.5 0.000176440581245654
216064 211 0.000178642884671131
216576 211.5 0.000180762994178963
217088 212 0.000182656558118877
217600 212.5 0.00018406074975354
218112 213 0.000184805960087077
218624 213.5 0.000184902386396107
219136 214 0.000184382403087255
219648 214.5 0.000183426915521233
220160 215 0.000182143968352346
220672 215.5 0.000180543963618098
221184 216 0.000178662690165113
221696 216.5 0.000176535108409733
222208 217 0.000174197370323882
222720 217.5 0.000171686189668741
223232 218 0.000169038227096525
223744 218.5 0.000166288908441236
224256 219 0.000163471019935479
224768 219.5 0.0001606140941068
225280 220 0.000157744560325125
225792 220.5 0.000154885596419944
226304 221 0.000152056299880562
226816 221.5 0.000149270755173544
227328 222 0.00014653471904951
227840 222.5 0.000143847332478316
228352 223 0.000141203962716762
228864 223.5 0.000138597305362137
229376 224 0.00013601972798974
229888 224.5 0.00013346399404743
230400 225 0.000130923863394603
230912 225.5 0.000128394545368499
231424 226 0.00012587283245124
231936 226.5 0.000123356615516561
232448 227 0.000120845311338366
232960 227.5 0.000118340626385023
233472 228 0.000115845818961163
233984 228.5 0.000113365260221508
234496 229 0.000110904079824261
235008 229.5 0.000108467856778177
235520 230 0.000106062391545744
236032 230.5 0.000103693380953153
236544 231 0.00010136612126214
237056 231.5 9.90854746216815e-05
237568 232 9.68555436931194e-05
238080 232.5 9.46793505139836e-05
238592 233 9.25590801891312e-05
239104 233.5 9.04962038343714e-05
239616 234 8.84911913274423e-05
240128 234.5 8.65435094376764e-05
240640 235 8.46518526959703e-05
241152 235.5 8.28144145006116e-05
241664 236 8.10291997647516e-05
242176 236.5 7.92943257183845e-05
242688 237 7.76074947205174e-05
243200 237.5 7.59657600899621e-05
243712 238 7.43657686204169e-05
244224 238.5 7.28043727833435e-05
244736 239 7.12777571078323e-05
245248 239.5 6.97820334122092e-05
245760 240 6.83135296224085e-05
246272 240.5 6.68689935851938e-05
246784 241 6.54455377966173e-05
247296 241.5 6.40406752596068e-05
247808 242 6.2652598665425e-05
248320 242.5 6.12804538922606e-05
248832 243 5.99238626326636e-05
249344 243.5 5.85823343365426e-05
249856 244 5.72548693400486e-05
250368 244.5 5.59428018607176e-05
250880 245 5.46476416167361e-05
251392 245.5 5.33708316790224e-05
251904 246 5.21137719020992e-05
252416 246.5 5.08778567441026e-05
252928 247 4.96645121694774e-05
253440 247.5 4.8475081590039e-05
253952 248 4.73107449204723e-05
254464 248.5 4.6172588707221e-05
254976 249 4.50617176374073e-05
255488 249.5 4.3979045941533e-05
256000 250 4.29251847900556e-05
256512 250.5 4.19004827753321e-05
257024 251 4.09050994912073e-05
257536 251.5 3.99390209431064e-05
258048 252 3.90020053771165e-05
258560 252.5 3.80935880698312e-05
259072 253 3.72131953246732e-05
259584 253.5 3.63602038011559e-05
260096 254 3.55339334627759e-05
260608 254.5 3.47336824755495e-05
261120 255 3.39586767274132e-05
261632 255.5 3.32081089128722e-05
262144 256 3.24811615954202e-05
262656 256.5 3.17770042722692e-05
263168 257 3.10947780969083e-05
263680 257.5 3.04335882210492e-05
264192 258 2.9792525486341e-05
264704 258.5 2.91707046762296e-05
265216 259 2.85672799254613e-05
265728 259.5 2.79814325328776e-05
266240 260 2.7412357809193e-05
266752 260.5 2.6859268727576e-05
267264 261 2.63214253074436e-05
267776 261.5 2.57981620344834e-05
268288 262 2.5288877356936e-05
268800 262.5 2.47929902203943e-05
