# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
87552 85.5 0.00127036721011706
88064 86 0.00127027711656884
88576 86.5 0.0012701913393521
89088 87 0.00127011291323602
89600 87.5 0.00127004029925689
90112 88 0.00126997193946207
90624 88.5 0.00126990820071285
91136 89 0.00126984825155589
91648 89.5 0.00126979273966412
92160 90 0.00126974417428671
92672 90.5 0.00126970232165401
93184 91 0.00126966369695861
93696 91.5 0.00126962801111859
94208 92 0.00126959985908136
94720 92.5 0.00126957797611164
95232 93 0.00126956020793965
95744 93.5 0.001269546770067
96256 94 0.00126953993189127
96768 94.5 0.00126953851148757
97280 95 0.00126954083703421
97792 95.5 0.00126954935323854
98304 96 0.00126956427860824
98816 96.5 0.0012695838004884
99328 97 0.00126960859963301
99840 97.5 0.00126963959442513
100352 98 0.00126967695712541
100864 98.5 0.00126971970149173
101376 99 0.00126976769745596
101888 99.5 0.00126982260189714
102400 100 0.001269885236677
102912 100.5 0.00126995337145859
103424 101 0.00127002534124681
103936 101.5 0.00127010537745093
104448 102 0.00127019398593845
104960 102.5 0.00127028784301245
105472 103 0.00127038492968799
105984 103.5 0.00127048693715998
106496 104 0.0012705971397746
107008 104.5 0.00127071251184226
107520 105 0.00127082888898766
108032 105.5 0.00127094849284121
108544 106 0.00127107351874943
109056 106.5 0.0012712028031763
109568 107 0.00127133305973075
110080 107.5 0.00127146309645183
110592 108 0.00127159602604523
111104 108.5 0.00127173276820131
111616 109 0.00127186934462573
112128 109.5 0.00127200447646229
112640 110 0.00127214212313434
113152 110.5 0.00127228358494276
113664 111 0.00127242539377861
114176 111.5 0.00127256528102127
114688 112 0.00127270713274082
115200 112.5 0.00127285139874419
115712 113 0.00127299491905084
116224 113.5 0.00127313805788969
116736 114 0.00127328291446506
117248 114.5 0.00127342868421926
117760 115 0.00127357402586089
118272 115.5 0.00127371865403397
118784 116 0.00127386248241396
119296 116.5 0.00127400447762353
119808 117 0.00127414585594361
120320 117.5 0.00127428809316867
120832 118 0.00127442703418017
121344 118.5 0.00127456103097838
121856 119 0.00127469351012622
122368 119.5 0.00127482493614627
122880 120 0.00127495280180652
123392 120.5 0.00127507497570724
123904 121 0.00127519323711962
124416 121.5 0.00127531011577777
124928 122 0.00127542174862957
125440 122.5 0.00127552621693259
125952 123 0.00127562606956298
126464 123.5 0.00127572361209855
126976 124 0.0012758162441511
127488 124.5 0.00127590038683694
128000 125 0.00127597731722865
128512 125.5 0.00127604940904283
129024 126 0.00127611721194703
129536 126.5 0.00127617612658596
130048 127 0.00127622401880282
130560 127.5 0.0012762654465843
131072 128 0.00127630026089504
131584 128.5 0.00127632502415763
132096 129 0.00127633823203133
132608 129.5 0.00127634255097235
133120 130 0.00127633831639129
133632 130.5 0.00127632303556367
134144 131 0.00127629587960504
134656 131.5 0.00127625819034642
135168 132 0.0012762118469629
135680 132.5 0.00127615483004516
136192 133 0.00127608438523414
136704 133.5 0.00127600355751878
137216 134 0.00127591413154268
137728 134.5 0.00127581378020733
138240 135 0.00127570232299707
138752 135.5 0.00127558052920147
139264 136 0.001275449019751
139776 136.5 0.0012753086361883
140288 137 0.00127516009719772
140800 137.5 0.001275002989848
141312 138 0.00127483713178606
141824 138.5 0.0012746641035894
142336 139 0.00127448655158735
142848 139.5 0.00127430452858199
143360 140 0.00127411600249339
143872 140.5 0.00127392304736061
144384 141 0.00127372948328831
144896 141.5 0.00127353500059871
145408 142 0.00127333857227326
145920 142.5 0.0012731416234353
146432 143 0.00127294647604619
146944 143.5 0.00127275461350933
147456 144 0.0012725646672376
147968 144.5 0.00127237709029995
148480 145 0.00127219480295138
148992 145.5 0.00127201848562934
149504 146 0.00127184673607443
150016 146.5 0.00127167973055064
150528 147 0.00127151940022175
151040 147.5 0.00127136730485917
151552 148 0.0012712221340826
152064 148.5 0.00127108137599036
152576 149 0.00127094780409604
153088 149.5 0.00127082426509134
153600 150 0.00127070738376682
154112 150.5 0.00127059504811553
154624 151 0.00127048946749466
155136 151.5 0.00127039236218768
155648 152 0.0012703025052248
156160 152.5 0.00127021616053421
156672 153 0.00127013483720971
157184 153.5 0.00127006163664099
157696 154 0.00126999402906992
158208 154.5 0.00126992941226577
158720 155 0.00126986889518705
159232 155.5 0.00126981464143857
159744 156 0.00126976532636501
160256 156.5 0.00126971818459591
160768 157 0.00126967490036498
161280 157.5 0.00126963630356308
161792 158 0.00126960108524146
162304 158.5 0.00126956848729848
162816 159 0.0012695392416075
163328 159.5 0.00126951333966861
163840 160 0.00126948939100406
164352 160.5 0.00126946836768542
164864 161 0.00126945074997555
165376 161.5 0.00126943482663667
165888 162 0.00126942017458591
166400 162.5 0.00126940833519471
166912 163 0.00126939869992303
167424 163.5 0.00126938991172652
167936 164 0.00126938210481355
168448 164.5 0.00126937574883326
168960 165 0.00126937051109681
169472 165.5 0.00126936514845736
169984 166 0.00126935900673184
170496 166.5 0.00126935315223737
171008 167 0.00126934748165341
171520 167.5 0.0012693399030608
172032 168 0.00126932985318206
172544 168.5 0.00126931854261633
173056 169 0.00126930600106006
173568 169.5 0.00126929100983067
174080 170 0.00126927229667899
174592 170.5 0.00126925009847901
175104 171 0.00126922660305742
175616 171.5 0.00126920100349531
176128 172 0.00126916980577194
176640 172.5 0.00126913461336833
177152 173 0.00126909850034257
177664 173.5 0.0012690599353261
178176 174 0.00126901532296946
178688 174.5 0.00126896609178641
179200 175 0.00126891587436939
179712 175.5 0.00126886254239585
180224 176 0.00126880378457477
180736 176.5 0.00126873996542749
181248 177 0.00126867347333023
181760 177.5 0.00126860487913635
182272 178 0.00126853113034139
182784 178.5 0.00126845209955899
183296 179 0.0012683700863641
183808 179.5 0.001268285335071
184320 180 0.00126819720941287
184832 180.5 0.0012681043614757
185344 181 0.00126800795440944
185856 181.5 0.00126790942086303
186368 182 0.00126780801091275
186880 182.5 0.0012677037449968
187392 183 0.00126759649330068
187904 183.5 0.00126748654142274
188416 184 0.00126737524591773
188928 184.5 0.00126726272497293
189440 185 0.00126714762192862
189952 185.5 0.00126703062495957
190464 186 0.00126691347428159
190976 186.5 0.00126679584888052
191488 187 0.00126667754513227
192000 187.5 0.00126655842311337
192512 188 0.00126643910416236
193024 188.5 0.00126632180426428
193536 189 0.00126620569487178
194048 189.5 0.00126608897821884
194560 190 0.00126597366349841
195072 190.5 0.00126586177802275
195584 191 0.00126575273412379
196096 191.5 0.00126564518770229
196608 192 0.00126553922801726
197120 192.5 0.0012654375352107
197632 193 0.00126534121160937
198144 193.5 0.00126524764021776
198656 194 0.00126515566716806
199168 194.5 0.00126506916586212
199680 195 0.00126498970728486
200192 195.5 0.00126491326466339
200704 196 0.00126483922817583
201216 196.5 0.00126477172035631
201728 197 0.00126471114874647
202240 197.5 0.00126465399536287
202752 198 0.0012646002559378
203264 198.5 0.00126455277576939
203776 199 0.00126451136015228
204288 199.5 0.00126447412139449
204800 200 0.00126444026709957
205312 200.5 0.00126441116151401
205824 201 0.0012643876840752
206336 201.5 0.00126436808178692
206848 202 0.00126435100117616
207360 202.5 0.00126433762498214
207872 203 0.00126432843187887
208384 203.5 0.00126432198765841
208896 204 0.00126431819177989
209408 204.5 0.00126431679383457
209920 205 0.00126431706149618
210432 205.5 0.00126432006049616
210944 206 0.00126432530148546
211456 206.5 0.00126433130231219
211968 207 0.00126433874808866
212480 207.5 0.00126434794507855
212992 208 0.00126435829875306
213504 208.5 0.0012643701331872
214016 209 0.00126438253214863
214528 209.5 0.00126439550439324
215040 210 0.00126441024745532
215552 210.5 0.00126442634916088
216064 211 0.00126444280832836
216576 211.5 0.00126445958317253
217088 212 0.0012644778154122
217600 212.5 0.00126449827469106
218112 213 0.0012645196539702
218624 213.5 0.00126454121085019
219136 214 0.00126456447885109
219648 214.5 0.00126459094927786
220160 215 0.0012646193632555
220672 215.5 0.00126464827429761
221184 216 0.0012646796014041
221696 216.5 0.00126471572521932
222208 217 0.00126475432026784
222720 217.5 0.00126479354344621
223232 218 0.00126483653739512
223744 218.5 0.0012648849203694
224256 219 0.0012649360332536
224768 219.5 0.00126498837689853
225280 220 0.00126504442108875
225792 220.5 0.00126510546395581
226304 221 0.00126516962514139
226816 221.5 0.00126523517632308
227328 222 0.00126530327639476
227840 222.5 0.00126537532760029
228352 223 0.00126545003517777
228864 223.5 0.00126552557485683
229376 224 0.00126560176129244
229888 224.5 0.00126567962700023
230400 225 0.00126575915398476
230912 225.5 0.00126583768774009
231424 226 0.00126591445687627
231936 226.5 0.00126599087962586
232448 227 0.00126606613207732
232960 227.5 0.00126613883900948
233472 228 0.00126620822261784
233984 228.5 0.001266274092642
234496 229 0.00126633671108017
235008 229.5 0.00126639511052451
235520 230 0.00126644859807691
236032 230.5 0.00126649689054422
236544 231 0.0012665396353756
237056 231.5 0.00126657695862906
237568 232 0.00126660879147889
238080 232.5 0.00126663464228505
238592 233 0.00126665400552654
239104 233.5 0.00126666758702829
239616 234 0.00126667651998782
240128 234.5 0.00126667981217722
240640 235 0.00126667694196765
